Дата,Максимальная температура,Минимальная температура,Средняя температура,Атмосферное давление,Скорость ветра,Осадки,Эффективная температура
01.01.2020,-1.0,-3.0,-2.2,,2,1.0,-5.3
02.01.2020,-1.8,-9.0,-6.3,,4,1.0,-11.2
03.01.2020,-0.9,-8.0,-4.6,,6,0.0,-10.6
04.01.2020,1.0,-3.8,-1.5,,7,0.0,-7.8
05.01.2020,1.0,-3.0,0.0,,4,,-4.2
06.01.2020,0.9,-5.0,-2.5,,1,2.0,-5.0
07.01.2020,-2.0,-7.0,-4.1,,2,4.0,-7.4
08.01.2020,-3.6,-7.0,-6.0,,1,0.0,-8.9
09.01.2020,-2.3,-5.8,-3.8,,6,0.0,-9.7
10.01.2020,-3.7,-6.2,-4.4,,4,1.0,-9.1
11.01.2020,-2.0,-5.0,-3.3,,3,0.0,-7.2
12.01.2020,-2.0,-9.0,-5.4,,3,0.0,-9.5
13.01.2020,-1.0,-4.4,-3.1,,6,2.0,-8.9
14.01.2020,0.7,-3.8,-0.2,,3,4.0,-3.9
15.01.2020,-0.8,-5.0,-2.6,,4,0.0,-7.2
16.01.2020,2.0,-5.3,0.1,,5,1.0,-4.8
17.01.2020,1.1,-0.3,0.7,,3,7.0,-2.7
18.01.2020,2.0,0.0,1.2,,2,0.0,-1.5
19.01.2020,1.1,-1.0,0.1,,3,0.0,-3.5
20.01.2020,0.0,-2.6,-0.8,,3,0.0,-4.5
21.01.2020,1.0,-1.7,0.1,,4,1.0,-4.1
22.01.2020,1.9,-5.0,-0.8,,4,6.0,-5.1
23.01.2020,-2.0,-7.0,-4.2,,3,1.0,-8.2
24.01.2020,-5.8,-10.0,-8.0,,4,0.0,-13.1
25.01.2020,1.0,-9.9,-2.2,,4,5.0,-6.7
26.01.2020,-0.4,-7.0,-3.3,,4,6.0,-7.9
27.01.2020,0.2,-13.0,-5.5,,6,2.0,-11.7
28.01.2020,-8.8,-16.0,-13.7,,2,0.0,-17.9
29.01.2020,-7.0,-14.2,-9.7,,5,3.0,-15.6
30.01.2020,-1.0,-9.9,-3.7,,5,7.0,-8.9
31.01.2020,0.0,-2.0,-0.8,,5,14.0,-5.7
01.02.2020,0.0,-4.0,-1.3,,3,0.0,-4.9
02.02.2020,0.0,-4.0,-1.1,,6,0.0,-6.7
03.02.2020,3.0,-1.7,1.0,,6,20.0,-4.3
04.02.2020,2.0,-4.0,-0.1,,3,0.0,-3.7
05.02.2020,-2.0,-7.0,-3.5,,4,0.0,-8.2
06.02.2020,-5.0,-12.0,-8.9,,3,0.0,-13.4
07.02.2020,-6.2,-14.0,-11.6,,2,0.0,-15.7
08.02.2020,-9.0,-19.0,-13.7,,5,0.0,-19.9
09.02.2020,-11.0,-21.0,-15.3,,2,0.0,-19.6
10.02.2020,-5.0,-15.1,-8.0,,5,0.0,-13.8
11.02.2020,-3.0,-8.2,-6.2,,6,0.0,-12.5
12.02.2020,-3.7,-12.0,-8.1,,3,0.0,-12.6
13.02.2020,-4.7,-13.0,-9.3,,2,0.0,-13.2
14.02.2020,-4.1,-14.0,-9.9,,2,0.0,-13.8
15.02.2020,-3.6,-9.0,-6.9,,2,0.0,-10.6
16.02.2020,-4.4,-8.0,-6.2,,2,1.0,-9.8
17.02.2020,1.0,-5.2,-1.6,,9,0.0,-9.3
18.02.2020,2.0,-0.2,0.8,,9,0.0,-6.6
19.02.2020,1.0,0.0,0.9,,4,0.0,-3.2
20.02.2020,5.5,-5.0,1.0,,2,0.0,-1.9
21.02.2020,5.2,-7.0,-1.8,,1,0.0,-4.3
22.02.2020,-1.0,-11.0,-6.9,,1,0.0,-9.9
23.02.2020,0.0,-9.0,-3.2,,6,1.0,-9.1
24.02.2020,3.0,-2.7,0.7,,4,5.0,-3.5
25.02.2020,1.0,0.0,0.2,,4,11.0,-3.9
26.02.2020,1.3,-5.0,-1.8,,5,1.0,-7.0
27.02.2020,4.3,-1.9,2.0,,6,1.0,-3.3
28.02.2020,3.6,2.0,2.8,,6,1.0,-2.3
29.02.2020,3.8,-4.0,0.7,,4,2.0,-3.5
01.03.2020,4.0,-4.0,-0.6,,3,0.0,-4.4
02.03.2020,5.5,-3.3,1.8,,6,0.0,-3.8
03.03.2020,5.1,-2.0,1.2,,4,0.0,-3.1
04.03.2020,2.0,-1.1,0.6,,3,1.0,-2.8
05.03.2020,2.2,-4.0,-0.6,,2,0.0,-3.6
06.03.2020,2.0,-4.0,-1.5,,6,0.0,-7.3
07.03.2020,2.6,-3.4,-0.4,,7,0.0,-6.9
08.03.2020,2.7,-1.0,1.1,,7,0.0,-5.2
09.03.2020,5.7,0.9,2.8,,3,0.0,-0.5
10.03.2020,9.3,1.0,4.4,,2,0.0,2.0
